description,points
"This ripe, rich and soft wine has a good balance between its apple fruit flavors and crisper lemon and gooseberry. The definite tang to the aftertaste gives a great lift. Drink from 2017.",87
"The aromas are bright, with notes of savory herb, orange peel, cranberry and spice. The flavors are higher in acidity, tart and puckering, with orange-peel flavors lingering on the finish. The tannins seem a little crunchy right now but should soften with some additional time in the bottle. It's a stylistically unique wine for the state. Put it on the dinner table to see it at its best.",90
"Fragrant, fresh and loaded with finesse, this blend of 60% Cabernet Sauvignon and 40% Merlot opens with scents of fragrant blue flowers, perfumed berry and a whiff of pine forest. The bright, silky palate delivers crunchy red currants, juicy raspberries and white pepper. It's nicely balanced, with firm, polished tannins and lively acidity. Drink 2016–2022.",93
"A little green and minty, with some stalky flavors, but dry and vibrant in acidity. Offers good cherry and raspberry pie flavors that are wrapped into a silky texture, with beautiful tannins. Drink now.",87
"For an ice wine, this is relatively rich. But it certainly doesn't take away from the pure acidity that lifts the sweet fruit, giving the ripe peach and dried apricot flavors a great frame. It is ready to drink now, but another year and it will be even better focused.",90
"The price is right, but the wine is ordinary. It's a modest little Pinot Noir, silky and dry, with suggestions of cherries, tangerine peel and cola.",84
"Whiffs of white tea and tropical fruit perfume this pretty, delicately concentrated Gewürztraminer. While full bodied and moderate in alcohol, it's brisk, almost ethereal style lends grace and refreshment. Drink now through 2018.",89
"Ripe notes of black cherry rise from the glass. The richness of the fruit is also apparent on the fleshy palate, where cherry notes fill out into red and black juiciness, with just a touch of the variety's telltale pepper. This wine is almost bouncy and reveals its firm grip and freshness only on the finish that echoes long.",91
"Firm and juicy, this opens with intense aromas of violet, ripe berry and baking spice. The vibrant, delicious palate doles out crushed black cherry, succulent raspberry and black pepper alongside bright acidity and smooth tannins. Enjoy it soon with everyday fare or for informal occasions.",89
"Drink this soft, simple Cabernet now with everyday beef dishes. It's a little watery, but dry and clean, with modest blackberry and cherry flavors.",85
"A small parcel of vines produces this crisp, fragrant and very fruity wine. With its apple fruits and lightly oaked character, it's a bright wine, it's more taut texture showing some aging potential. Drink from 2015.",87
"Lovely notes of crisp apples make for a very friendly nose. The palate comes in with immense freshness that is nonetheless tempered by a balm-like rounded texture that couches Riesling's freshness in seamless fluidity. The palate remains dry and is colored with red and green apple, lemon and tangerine. The finish is dry and wonderfully lip smacking.",91
"One of the closest things there is to a can't-miss wine, Leeuwin's Chardonnay is always on form. The 2011 Art Series is flamboyantly oaked, with smoky, toasty, nutty notes layered over hints of white peach and grilled pineapple. It's less rich than some vintages have been, but still appealingly mealy in texture. Drink now–2020.",92
Aromas of white wild flower and exotic fruit spring from the glass. The lively fruity palate doles out honeydew melon and juicy grapefruit alongside bright acidity.,86
"This is an aromatic wine, with scents of green melon candy, lime zest, white flowers and white peach. It drinks off dry, with stone-fruit flavors brightened by zippy acidity leading to a mouthwatering finish.",90
"Cabernet Sauvignon, Merlot and Cabernet Franc make up equal parts of this wine, with pinches of Petit Verdot and Malbec blended in. Vanilla, cocoa, coffee, herb and cherry aromas are followed by generous fruit and barrel flavors supported by tightly wound tannins. The wood is primary right now. It will be best after 2021.",92
"Intense smoke and nut-skin aromas add an earthy, savory minerality to rich, sweet Meyer lemon and orange-peel notes on the palate of this delicate yet powerful wine. There's massive complexity here, revealing itself in layers and layers on the long, lingering palate.",90
"No matter how hard you try to tame Petite Sirah and make it civilized, it retains its feral, rustic nature, which is what makes it such an interesting wine in the right hands. Quivira has “claretized” this wine, yoking the intense cassis, currant, cocoa, gamy leather and pepper flavors to finely ground tannins and a modest alcohol level. But it's still a quintessentially wild Petite Sirah. Drink now through 2017.",91
"Tight and crisply fruity, this wine comes from a property in the Vignobles Signé family since 1649. With a strong herbal character, it is refreshing and already delicious, bright and lively. Plenty of acidity keeps this wine packed with forward fruit. Drink now.",89
"Dark, sweet fruit notes of prune, plum and rum cake open the nose of this blended red from the Marche in Central Italy. Plush, soft blackberry and a touch of chocolate appear on the finish.",88
"Floral red-fruit aromas become more jammy and sweet with airing. This feels fresh despite being chunky in weight, with citrusy acidity. Flavors of red plum, apple skins and blueberry finish with a green hint, raciness and red-fruit acidity.",84
"This broad, fragrant wine has both great acidity and delicious ripe green plum and gooseberry fruits. Tangy and bright, it is going to fill out as it ages. Drink now or from 2016.",88
"Plush, lush and warmly seasoned in Asian spice, this wine offers length and balance, with a delicate layering of black cherry and cola flavors.",90
"One of the finest selections from South Africa today, Sadie's 2011 Columella is structured, complex and masterfully balanced, ready for a beautiful, long life ahead. The bouquet leads with lovely scents of rooibos tea, minty fynbos and African violets that frame the ripe boysenberry, blackberry and plum fruit spine. Layers of lush black fruit and earthy spice dance on the velvety palate, with peppery tannins that hang on to the lingering finish alongside hints of cocoa powder, licorice root and star anise. Drink now–2024.",95
"There's a heady bouquet of blossom and stone fruit on this lavishly aromatic Riesling that persists from nose to finish. The palate is ripe and juicy, penetrating with honey, yellow cherry and apricot flavors, but cut with a zesty streak of grapefruit and limes. Finishes endlessly long.",91
"This wine is dark red-violet color to the eye, offering aromas of blackberry, roasted red pepper and juniper berry. It is very smooth on the palate, with flavors of black plum, blackberry, white peach, elderberry and violet. There is a slightly dominant eucalyptus flavor that backs off at the finish, replaced by a fresh cherry juice flavor.",90
"Blended with a little Cabernet Franc and Petite Sirah, this is a soft, sweet, peppery Merlot, filled with luscious, warm-climate flavors of black cherries, raspberries and chocolate. There's a lot of sweet, smoky oak, too. Drink up.",87
"It's the barrel notes of toast, vanilla and spice that make the first impression on this blend of Dionysus Sauvignon Blanc (64%) and Bacchus Semillon, followed by caramel and fig. The tropical fruit flavors are rich and creamy in feel and linger on the finish.",89
"This wine is straight down the fairway, clean and simple with medium to full bodied yellow apple notes and a touch of residual sugar.",86
"Friendly, appealing flavors fo pear, lychee, apple and spice give this Riesling a fun character. Fresh with a touch of sweetness, the wine is balanced by its acid and offers a pretty, lingering finish.",84
"Flashy and delicious, this just blows your mind. It's like the essence of the ripest, purest blackberries, with a note of crème de cassis and the sweet appeal of melted dark chocolate. It's a soft wine, but grippy in tannins, which gives it good structure. Your best bet may be to drink it over the next six years.",93
"A high-end Malbec experience at a reasonable price, this boasts rich aromas of cola, graphite and boysenberry that leap from the glass. The palate is bright and just thick enough, with wild berry, cherry, plum and oak-based flavors. Another whack of oak, along with vanilla, chocolate and tobacco flavors, graces the finish. Drink now–2015.",91
"Earthy and engaging, and a little bit rugged. Aromas of barnyard and Middle Eastern tahini set up a palate full of spiced-up curranty fruit. Light oak shows itself early in a finish that unfolds in layers, revealing complexity and class.",90
"Saint-Maur's vines are planted close to Saint-Tropez in one of the warmest sectors of the Provence coast. This wine is firm and tannic, with signs of bitter coffee from extraction that are balanced by the ripe black-currant flavors. It will develop well; drink after 2017.",90
"Lively, fruity and made to be drunk young, this is a crisp red-fruit-flavored wine. It has acidity and a tangy orange peel character. Drink now.",85
"A touch of peach is edged with leafy notes of citrus foliage and a touch of elderflower. The palate brings out the peach but also a zestiness reminiscent of grapefruit peel, making for a crisp texture. Full of flavor this has a rounded midpalate despite the slender body.",92
"Light salmon-pink in color, this refreshing wine is made from a combination of Cabernet Sauvignon, Merlot, Cabernet Franc and Petit Verdot, which all provide structure and complexity. Subtle in aroma and flavor, it is light and tart, leaning toward intriguing flavors of pomegranate and cranberry.",89
"Soft and supple, this quite approachable wine has simple, lightly fruity flavors. It's generic, pleasant and ready to drink, with some milk chocolaty oak in the finish. Though it lists at 14.6% alcohol, it does not have commensurate weight or density of flavor.",83
"There is a great burst of appealing acidity in this wine, accompanied by refreshing red fruits. This balanced wine is lively, crisp and with plenty of flavor. Drink now.",88
"The black cherry, plum and cola notes of this wine are carried across the palate by ample weight and supple tannins. It lacks a bit of complexity, but offers plenty of easy charm for drinking over the next few years.",88
"Very juicy wine, with fresh berry fruits and relatively soft tannins. The wine has acidity, a dry leather edge and a softer, sweeter finish.",87
"The most recent of Palliser's Great Dog releases, the 2014 Ted is a full-bodied, muscular wine. Cola, cinnamon and thyme notes mark the nose, while the flavors feature dark cherries and plums, drawing to a lingering close with echoes of mocha and Mexican chocolate. Drink 2020–2028.",92
"This interesting wine is an unusual blend of Cabernet Sauvignon and other Bordeaux varieties with nearly half Syrah. It does what Napa does so well, offering a plethora of ripe, delicious cherry, black raspberry, dark chocolate, sweetly smoked oak and peppery spice flavors that are deep and long on the finish. A lovely, accessible wine to drink over the next few years.",92
"Tastes a little simple and candied, but it's so delicious, you can hardly stop sipping. Rich and ripe in cherry and raspberry Lifesaver fruit and pie filling, with plenty of sweet vanilla and spice. Drink now.",87
"Made from 62% Grenache, 15% Syrah, 15% Mourvèdre and 8% Counoise, this perennial delight is Demeter-certified Biodynamic and tastes as fresh as a summer day. Orange, grapefruit and lemon give it a sizzling refreshment and high level of acidity, while the texture of the wine stays smooth and luxurious.",91
"Nutty, slightly earthy tones lend a savoriness to lush, ripe apricot and peach flavors. It's juicy and sweet, yet refreshing on the palate with zesty lime acidity and a pleasant astringency that lingers on the finish.",89
"Despite tipping the scales at more than 15% alcohol, this wine actually comes across as nicely structured and elegant. It's certainly not a fruit bomb, instead offering a complex array of sour plum, espresso, olive and coffee notes to go with its blueberry fruit. It's round without being fat, framed by supple tannins that turn slightly dusty on the finish. Drink now-2016.",89
"Enticing scents of white spring flower, orchard fruit, Alpine herb and an intriguing whiff of smoke lead the way on this stunning wine. The elegantly structured radiant palate delivers juicy nectarine, creamy pear and sage framed in tangy acidity. A racy mineral vein further lifts the lingering finish. Drink through 2020.",93
"Ground pepper, tilled earth and black-skinned berry aromas all come together on this generous, full-bodied red. The fresh, delicious palate doles out ripe black cherry, black currant, licorice and clove alongside vibrant acidity and polished, fine-grained tannins.",93
"Light and leafy smelling, with red fruit aromas as well as mint and green notes. Feels exceedingly angular and acidic, leaving quick, tart flavors of raspberry and red plum to match wits with buttery oak. Sharp on the finish, and ultimately a bit sour.",83
"A ripe red wine, brimming with cherry fruit, and heightened in texture by acidity. Not particularly complex, but rich and satisfying, making it one of the better Grenaches from California.",88
"Dark gold in color, rich and on the dry side, this is a very fine wine from a family-owned quinta close to Régua. The long wood aging has introduced great concentration to the dried fruits and burnt toffee flavors. Marmalade and surprising freshness give the wine a lift. It is ready to drink now.",93
"A pure expression of Syrah from coastal Tuscany, this plush wine opens with cherry, tobacco and cigar-like aromas. It's fine, elegant and streamlined on the finish thanks to a touch of crispness.",92
"This is an immensely fun albeit simple, Beaujolais-like wine, best served chilled and on the beach or by a pool. Fairly dark in color, it shows deep blackberry, smoke, crushed graphite and a touch of tarragon on the nose, while the flavors offer Concord grape, plum, fruit punch and a touch of caramel.",87
"The aromas are bright and sweet, with notes of freshly cut cantaloupe, pear and candied red apple. The flavors are tangy, sweet and full, with an herbal streak that runs throughout.",87
"Consistent with past vintages, this still-young wine has a yeasty nose, textural mouthfeel and light pear fruit flavors, gently dappled with cinnamon spice. There is just a hint of sweatiness in the finish.",89
"A beautifully crafted blend that includes 19% Merlot and splashes of Syrah and Cab Franc, this melds black fruits, black olives, a pleasing array of fresh herbs and a hint of mint. The mix is full and seamless, with an easy roundness that carries into a pleasing finish.",90
"High-toned aromas of herb, cigar box and spice are followed by tart cranberry and cherry flavors backed by lightly gritty tannins. The bright acidity keeps the interest high. Put it on the dinner table to see it at its best.",88
"Flowery and smoky aromas introduce a perfumed, ripe wine. Gentle at first, the tannins gradually show through, part of a solid texture that gives density. Fruit goes from damsons through black cherries and a layer of wild strawberry. For long-term aging.",92
"Smooth and silky, this lovely Viognier begins with flavors of citrus, lemongrass and fresh herb, before continuing into a well-rounded, full-flavored midpalate that hints at just a touch of residual sugar.",91
"A great value Zin from Amador. It's a briary, meaty, mountain version of America's grape with plenty of pepper to please. Grab a slab of ribs for this one.",88
"With the majority of the fruit from the producer's Calistoga and Oakville estate vineyards, as well as its Healdsburg property, this is a dry, citrus-laden wine, zesty and refreshing in lime and grapefruit. The acidity is dialed high, yet remains balanced by the density of fruit and body, the overall effect just right in terms of ripeness.",90
"This is for real Pinotage lovers, so bashful drinkers, beware. The nose bursts with ripe red fruit and spice—Pinotage hallmarks—and on the palate, lively, spicy and smoky flavors of berry and savory spice abound. It's a wine full of personality and is best enjoyed with a dish of grilled spicy ribs or ethnic food that can tame its wildness.",86
"Made from 100% Sauvignon Blanc fermented and aged in stainless steel tanks, this wine shows why Dry Creek Valley has achieved such a fine reputation with this variety. Totally dry and brisk in acidity, it has savory flavors of lemons and limes, passionfruit, gooseberries and white pepper. Awesome with Vietnamese, Ethiopian and Indian fare calling for white wine.",90
"A touch of honeycomb swings alongside ripe pear and peach notes, creating a very inviting appetizing nose. The palate emphasizes this juiciness even more with the slightest touch of residual sweetness and a flowing fluid palate that only shows its concentration towards the end. There are edges of honeysuckle spice before a fresh, lemony and dry finish.",92
"From one of the top vineyard sectors of Pouilly-Fumé, the wine is rich, full and complex. Spice and vanilla are contrasted with the intense acidity and steely white-fruit and citrus flavors. It is still young with its fruitiness bursting out of the glass. Wait until 2018.",92
"Owned by the Cathiard family of Château Smith Haut-Lafitte since 1994, the vineyard of Cantelys neighbors both Smith Haut-Lafitte and the Lurton-owned Rochemorin. The wine is rich, smooth, the wood well integrated, allowing fine wafts of herbaceous citrus and currant flavors to come out of the glass. It's ready to drink now, but could age over 2–3 years.",91
"This medium- to full-bodied rosé features bold aromas of lime, mineral and ripe cherries, while the flavors run toward white chocolate, citrus and red fruits. There's a satisfyingly fatty character to this wine's flavors and texture, persisting through the long finish.",88
"This is a dense, smooth wine with fine tannins and rich fruit. It has concentration, with suggestions of bitter extraction that need to soften. The structure and the fruit are still young, so wait to drink this powerful wine until 2018.",91
"Many things happen here at once: there are rose petals, clear blossom honey, ripe yellow pears, bitter orange, roasted hazelnuts and green tea—unlikely companions that unite surprisingly well in this complex, nutty and layered wine with pleasing concentration and length.The wonderful seam of acidity lifts everything onto a different plane.",93
"The finish is dry and toughly tannic on this elegant Syrah. With smoked meat, black cherry, blueberry, pepper and salt flavors, it's a chewy wine, full-bodied and complex, brightened with fine acidity. Seems best in its youth for freshness.",90
"Here on display are all the elegance, finesse and ultimate power possible in wines from this exceptional AVA. Tart raspberry fruit, stiff tannins and supporting acids are nuanced with citrus, herb and a light touch of vanilla. Drink this from 2020 to 2030.",91
"Already well balanced, this firm, concentrated wine allows its fruit to show strongly. Dominated by juicy, black-currant-flavored Cabernet Sauvignon, it is solid while also fresh, layering tannins and acidity. The wine will develop quickly; drink from 2020.",93
"Slightly stewed fruit scents suggest cooked prunes, and lead into a pretty hard, tannic red wine. It has leafy, somewhat underripe flavors, lots of tannin and a generic red wine flavor; it could be almost anything.",82
"Wood aromas and flavors are happily balanced by the ripe berry fruits. So the firm structure is lifted by juicy acidity and fruit to give a wine that will be spicy, fruity and succulent. Drink from 2018.",88
"Light and clean aromas of Asian pear, pear blossoms, apple flesh and white flowers show on the nose of this bottling from a property on the far western edge of the maritime appellation. Bright acidity presents flavors of lime, green apples, Anjou pear flesh and a touch of kiwi, with savory sea-salt touches.",93
"This elegant wine opens with enticing white spring flower, freshly picked orchard fruit and herb aromas. The vibrant palate offers juicy white peach, nectarine and yellow apple flavors, framed by crisp acidity. An almond note graces the dry, refreshing finish.",91
"Quite dark in the glass, this bottling offers black plum skin, clay, gravel and berry pie aromas. The mouthfeel is full of polished tannins and edged with sharp acidity. Dark fruit and wet earth flavors dominate.",90
"The land from which this wine comes was once owned by the Biondi-Santi family. It forms part of an 18-acre estate belonging to Sergio Rossi. It is a stunning wine, with a sense of fine poise combined with solid tannins and firm, ripe fruit. At the back of the palate is a lingering flavor ofviolets and sweet herbs. Drink from 2005; the wine should age well.",93
"Aromas suggesting truffle, crushed herb, prune and pressed blue flower slowly take shape on this elegantly structured red. The bright palate is firm and linear, offering Marasca cherry, cocoa and clove set against fine-grained, polished tannins and fresh acidity.",91
"This is big and powerful, soft and rounded, with the tannins buried in the foward black-fruit flavor. It's almost too dense for its own good, a blockbuster that has ripe fruit, but misses out on structure.",88
"Sweet, soft and simple, with jammy apricot, green apple and pineapple flavors. Crisp acidity helps to balance the sugariness.",83
"From a vineyard that's supplied popular Paso producers for decades comes this Cab, which is boosted by 13% Malbec and 9% Petit Verdot and shows blackberry, mocha and purple-flower aromas. Blueberry and black cherry appear on the palate alongside dark espresso notes and herbal components that are still wound up in chewy tannins but will further release with cellaring.",91
"Mossy and quite woody, and maybe even bretty, but also rich and stout, with concentration. Aromas of cheesey black fruit are staunch, while the round palate has richness, thickness and flavors of molasses, baked berries and licorice. Finishes surprisingly quick.",87
Chocolate and licorice flavors give a bitter character. It has some fruit but it's really the structure that is talking at the moment. The aftertaste is juicier.,85
"A blend of Sangiovese and 10% Cabernet Sauvignon, this structured wine opens with aromas of underbrush, toasted oak, crushed flower and plum. The palate offers dried black cherry, grilled sage, espresso and clove alongside firm tannins.",88
"Underripe melon meets butterscotch on the nose. The round palate shows banana-lemon yogurt with streaks of caramel, leading to a toasted vanilla finish.",86
"A blend of 65% Chardonnay, 20% Nebbiolo and 15% Pinot Nero, this delivers ripe pear, golden apple, citrus and hazelnut aromas that carry on to the palate. It's sophisticated and elegant, with radiant acidity.",91
"An improvement from recent years, but that may be a reflection of when we're tasting the wine. At this point in time it's showing dusty plum and raspberry aromas and good body weight. The flavors of raspberry and cherry are solid, while the finish is cleansing. Beyond palatable; it's really a nice rosé from Tempranillo.",86
"Rich, oily meats and cheeses are what this Syrah, Cabernet Sauvignon and Petite Sirah blend needs, because it's so toughly tannic. The char of broiled meat will complement the cherry and blackberry sweetness.",86
"A beautiful, young and firmly tannic Pinot Noir that should improve in the bottle. It's fully dry and fine in acidity, with expressive flavors of black and red cherries, cola, beef jerky, crushed pepper and sweet, smoky sandalwood. Very nice now with a good steak, and ought to show development over the next 5–7 years.",90
"Tart red cherry and fresh herb lend a crisp, cool tone to this elegantly composed Syrah. The palate is plush and concentrated in red plum and cherry flavors that are balanced by bristling cranberry acidity. Velvet tannins cap the finish.",89
"This shows its cool-climate origins thanks to the brisk acidity and keen minerality that accompany the orange, peach and oak flavors. It's elegant and rich, but don't drink it too cold.",90
"A plump nose full of fruit and spice shows black raspberry and mace. The palate is well fleshed out, with a range of fruit-forward flavors, including mulberry and exotic plum. Graphite minerality binds it together, surrounding tangy acidity.",91
"Aromas suggesting rose, iris and red berry are front and center. The linear medium-bodied palate offers sour cherry, cranberry, white pepper and star anise alongside close-grained tannins and fresh acidity. It has a firm drying finish. Drink 2021–2028.",88
"A good, everyday wine showing how well Paso Robles ripens Cabernet. It's filled with savory blackberry and cherry flavors that go down nice and easy, leading to a spicy finish. Drink now–2014.",87
"This wine has overlapping personalities. One drips richly in vanilla and honey, while the other is lemony tart and electric in acidity. They commingle on the finish, and will clearly decide whether to get along or part over time. Give the wine a good swirl.",86
"A nose of clean citrus and spice leads on this simple but likeable Chardonnay. On the palate, it offers more of the fresh flavors and the finish is crisp. A nice wine with seafood and salad, and a good choice for fans of lively whites.",83
"A pure varietal Syrah, this opens with a mix of peppery herbs, a hint of stem, and a whiff of tomato leaf. Give it some breathing room and the red currant fruit fleshes out, melding with darker flavors of licorice, soy and espresso, in a wine of medium length, with natural acidity and crisp tannins.",91
"There's a nice concentration of black-bramble fruit on the nose, with appealing notes of green peppercorn and anise. The moderately-full palate is tight, tannic and needs time in the glass to release the brooding black berry and plum flavors. A lift of menthol on the finish adds some levity.",88
"Although this is a delicate wine in terms of aroma and flavor, it has a vividly tart texture that's especially refreshing. It smells subdued, resembling cucumber and white pepper, then the flavors add white peach and crisp apple notes. This will make a great match with raw oysters, sushi and other appetizers.",89
"Using grapes sourced from old vines, this is dark and concentrated. It's dominated at the start by firm, dry tannins, with its power coming from its dark, brooding fruit and dense structure. Age for at least four years.",91
"A bright Barbaresco—this opens with a fresh, floral quality that recalls blue flower and pressed rose. Beyond those aromas are layers of almond skin, ginger, cola and hazelnut. It's an elegant and fine expression that needs five more years of cellar aging.",90
"100% varietal, this is a directly appealing wine. It features a nice interplay between the barrel notes of fresh brewed coffee and sweet spices (40% new French with the balance seasoned American) and the fruit flavors of cherry and herb, with a supple feel bringing it all together.",90
"Blackberry jam, menthol, truffle and leather aromas lead the nose while the concentrated, enveloping palates shows black cherry marinated under spirits, licorice and nutmeg. It's already approachable thanks to the juicy fruit and velvety tannins.",92
"Dust and pollen notes linger from nose to finish on this dry, full-bodied Riesling. Apple and pear flavors are a tad savory, but brightened by crisp lemon acidity. A refreshing and easy drinking wine.",86
"Good for the winery for producing a Cab Franc that's truly distinct and interesting. It doesn't have a vineyard designation, but it's from the highly regarded Truchard vineyard. With a firm core of dusty tannins and a heart of blackberries, black cherries, currants and black pepper, it's elegant, complex and ageworthy.",92
"Yellow in color, with heavy dusty flat aromas of apple and citrus, this feels low on acidity and thus flat. Cidery apple and lime flavors finish chunky and leesy with an oily texture.",85
"Rossojbleo opens with distinct aromas of oatmeal cookie, Graham cracker and bright red fruit. It's a unique expression, with just enough acidity to keep the plate refreshed.",87
"Sun-ripened bramble and dried herbs lend a savory rusticity to this spry yet decadently ripened Cabernet Franc. It's not a brawny wine, but powerful in impact, full of black fruit flavors and jolted by veins of fine tannin and pert acidity. It's lovely now, but structured enough to continue to improve till at least 2020.",92
"It's fun to rattle off a few of the numerous aromas and flavors in this exotic but subtle wine: tangerine, pastry cream, blanched almonds and a touch of honey. The wine is refreshing, dry and nicely braced with acidity, but at the same time rather broad and soothing in texture. In other words, beautifully balanced and wonderfully complex.",93
"Oak, roasted coffee bean and rubber aromas lead the nose. The palate displays oak extract, vanilla, espresso, mocha and mature plum alongside astringent wood tannins that leave a drying finish. It lacks fruit richness.",86
"If any rosé can be serious, it's this. It has structure as well as fruit, a sense of purpose, ripe red fruits and tight acidity. It could even age, so wait to drink it until late in summer 2014.",90
"On the eastern end of the Bordeaux appellation, this Gazaniol property reserves 10 of 161 acres for its white blend. This is a ripe, soft wine that is rounded with peach and red-apple fruit flavors. Crisp acidity gives it some tightness to balance the full, fruity character of the wine. Drink now.",87
"In addition to the fig and yellow apple aromas, there's noticeable tropicality on the nose of this wine, but it tightens around tart Meyer lemon pith and crushed ants. Ripe lemons also power the sharp and pithy palate, which offers a shred of roasted almonds and marzipan.",90
"A blend of northern and southern Portuguese grapes, this is a seriously firm wine that's structured and dense. Spiced black plums are layered with big, drying tannins and acidity, which promise long aging for this impressive wine. Drink from 2017.",92
"This wine is all about fresh fruit and refreshing acidity. Crisp citrus, green apples and a touch of apricot give a fruitiness contained with a steel and mineral texture. It is full of acidity while keeping a riper, fruity character. Drink from late 2015.",90
"Wood takes center stage on this wine. Char, dark roasted coffee, chocolate and vanilla are followed by sweet fruit and oak flavors backed by firm, dry tannins.",86
"Slightly sweet, with a honeyed edge to the rich pear, apple, peach and tropical fruit flavors. Just-in-time acidity fortunately provides balance.",84
"From the small Champagne region around Sézanne, this is a rounded, mouthfilling Chardonnay. It has ripe citrus and orange fruit flavors with a touch of apricot. It's a classic apéritif style.",89
"From an estate vineyard high atop Mount Veeder, this 100% Cabernet Sauvignon is dark and inky, concentrated in color and flavor, a brambly intensity at the center of it all. Peppercorns and clove accent its larger smoky, espresso side, the body full and velvety.",91
"Made of 90% Sangiovese and 10% Canaiolo, this opens with rose and baking spice scents. The straightforward palate shows red plum and clove flavors, held firm with solid tannins. Drink through 2018.",87
"It hurts to say this, but $78 qualifies as a decent value in Côte Rôtie these days. This is delicately floral on the nose, while vibrant raspberry fruit carries through on the palate. A hint of creaminess marks the texture, turning to fine silk on the finish. Drink now–2023.",93
"This blend of 60% Syrah and 40% Cabernet Sauvignon offers fresh blackberries on cold slate and a light herbal character with dill, oregano and tarragon. A minty quality carries into the sip, where black plum, pepper dust and light tar show.",88
"This attractively fruity wine has just a touch of tannin in the tangy, zesty structure. At the same time it offers crisp apple and grapefruit fruitiness. It's balanced, a great success with its combination of fruit and tense structure.",91
"Olmaia is a pure expression of Cabernet Sauvignon that hits all the right marks. You can taste the variety's natural flavors but they never seem green or medicinal. Instead the wine is plush, soft, round and opulent, with ideal harmony and balance and beautiful delivery of chocolate, cherry, vanilla and herbal aromas. The wine almost exaggerates, if possible, its generosity and roundness.",95
"Savory and fruity flavors combine in this full-bodied, mouth-filling and affordable wine that was made from certified organic grapes. There are hints of smoke and meat along with ripe plum to complete the picture.",87
Hits of salt and crushed earth mingle amidst sweet tangerine and apricot in this revitalizing spätlese. It's intensely mineral yet chock full of summer fruit catapulted by searing lemon-lime acidity. The finish is marked with lingering notes of caramelized sugar and pollen.,93
"Subtle notes of earth mix with summer blossom, along with hints of honey, quince and zesty, fresh lemon peel. These aromas dance and take turns on the dry, balanced palate that shines both with rich fruit and slender tone. Lemony freshness pervades everything with its brightness. This is lovely now but will be even lovelier over the years. Drink 2016–2030.",95
"Showing the faintest shade of pink possible upon pouring, this Cinsault-based rosé offers up light yet fruit-forward aromas and flavors of apple, pear and yellow melon. A seam of citrusy acidity zips through the palate, lending verve and vibrancy to the mouthfeel, while a hint of bitter orange peel graces the finish.",88
"This showcases the sweet-tasting, ripe fruit and powerful oak that characterizes all of Trinchero's 2009 reds. For a 100% Petit Verdot, it's unusually complete, with intense flavors of blackberry and blueberry jam, mocha, violet, smoky vanilla and toast. Drink now, after decanting, and over the next six years.",92
"Youthfully wound up yet fleshy, this wine slowly opens to reveal a sense of crispness, wet stone-like minerality and a taste of fog from the nearby Pacific Ocean. Apple skin, Meyer lemon and key lime flavors provide upfront freshness; toasted oak and almond qualities add substance and weight.",94
"An easy-drinking introduction to Shiraz from Western Australia's Great Southern region, the 2010 Omrah offers gentle cherry and cedar notes accented by hints of chocolate and roasted meat. It's medium to full bodied, with a round, supple mouthfeel that ends in a wash of softly dusty tannins.",90
"Very toasty aromas mark this wine. While the toast is present on the palate, it also offers plenty of fruit flavors, conveying apricot and white peach along with a citrus edge that brings out the freshness. Drink this wine from 2022.",93
"There are elegant aromas of potpourri, purple flowers, rose hips, fennel, wild mint, blackberries and plums on the nose of this top-end bottling from the Hahn family. Hearty black plum and elderberry mix with black sage and bay leaf on the palate, where a chalky texture and soft mouthfeel complete the experience.",94
"An intensely purple hue and whiffs of vanilla and cherry cola make this ruddy, rich wine stand out in a line-up of German red blends. The palate is unabashedly forward and fruity, with a slightly grapy tone, framed in soft, slightly bitter tannins.",86
"A Vinho Verde with some weight from the ripe pear and grapefruit-flavored fruit. It is bone dry, very fresh, the intensity of flavors turning this into a fine food wine.A Vinho Verde with some weight from the ripe pear and grapefruit-flavored fruit. It is bone dry, very fresh, the intensity of flavors turning this into a fine food wine.",88
"Grown sustainably on land between the Santa Lucia Highlands and Carmel, this great-smelling wine shows light caramel apple and sea salt on the nose. There's a judicious touch of butter to the palate, where flavors of green pear and lemon zest leave the mouth watering with acidity long into the finish.",92
"This single-vineyard wine offers wonderfully balanced fruits and texture, along with ripe fruitiness. Apples, crisp citrus and warmer pear and peach flavors are all integrated into a texture that just hints at the herbal while being more about bright, fresh acidity and fruit. Drink now.",93
"Proudly claiming to be a blend of eight grape varieties, this wine is soft and gently fruity with a spicy background that gives it a bitter edge. That will blow off in a few months, so drink this food friendly wine from late 2017.",87
"Suave and subtle, this medium-bodied wine will be fun to sip through an evening and see how it develops. It emphasizes moderate fruit flavors, subtle oaky spices and a lush texture that keeps the flavors lingering on the finish.",88
"Well-made, well-balanced and medium-bodied, this combines moderate blackberry and black cherry flavors with subtle spicy notes. The texture is tannic enough to be great with food, but smooth enough to enjoy sipping.",88
"Flowery and fresh, this is a classic cool-climate white. Fragrant acidity is balanced by the citrus and pear flavors. Fruity and crisp, it is ready to drink.",85
"This wine has a light scent of animal funk and saddle leather around black-cherry fruit. Tannins are showing early signs of drying out, and it is probably best to enjoy by 2020.",87
